Overview,book,pages,summary,author,year of publication,Text Complexity,Qualitative measures,levels of meaning ,text structure,language conventionality and clarity,knowledge demands,Quantitative measure descriptors,lexile level,Flesch-Kincaid,ATOS Reading Level,reader maturity,Instructional Merit Descriptors,pedagogical focus,literary elements,guiding standard,General Descriptors,genre,theme/topic,subgenre
,"Odyssey, The",,,,,,,,,,,,,,,,,,,,,,,
,"Crucible, The",,,,,,,,,,,,,,,,,,,,,"classic, drama",,
,"Scarlet Letter, The",,,,,,,,,,,,,,,,,,,,,,,
,Huckleberry Finn,,,,,,,,,,,,,,,,,,,,,,,
,Grapes of Wrath,,,,,,,,,,,,,,,,,,,,,,,
,Hamlet,,,,,,,,,,,,,,,,,,,,,"classic, drama",,
,Frankenstein,,,,,,,,,,,,,,,,,,,,,,,
,Beowulf,,,,,,,,,,,,,,,,,,,,,,,
,Canterbury Tales,,,,,,,,,,,,,,,,,,,,,,,
,Brave New World,,,,,,,,,,,,,,,,,,,,,,,
,Thousand Splendid Suns,432,"A Thousand Splendid Suns is at once an incredible chronicle of thirty years of Afghan history and a deeply moving story of family, friendship, faith, and the salvation to be found in love.",Khaled Hosseini,2008,,,very complex,very complex,very complex,very complex,,830,7.03,5.4,10-12th ,,complex figurative language; unique geographic setting,"themes, point of view, symbols, character, conflict, foreshadowing, irony, figurative language","RL.11-12.3 - Analyze the impact of the author’s choices regarding how to develop and relate elements of a story or drama (e.g., where a story is set, how the action is ordered, how the characters are introduced and developed).
RL.11-12.2 - Determine two or more themes or central ideas of a text and analyze their development over the course of the text, including how they interact and build on one another to produce a complex account; provide an objective summary of the text.
RL.9-10.2. Determine a theme or central idea of a text and analyze in detail its development over the course of the text, including how it emerges and is shaped and refined by specific details; provide an objective summary of the text.
RL.9-10.6 Analyze a particular point of view or cultural experience reflected in a work of literature from outside the United States, drawing on a wide reading of world literature.
RL. 11-12.4 - Determine the meaning of words and phrases as they are used in the text, including figurative and connotative meanings; analyze the impact of specific word choices on meaning and tone, including words with multiple meanings or language that is particularly fresh, engaging, or beautiful.",,realistic fiction,"gender, tradition, sacrifice for family","bleak, haunting, dramatic, thought-provoking, families "
